,symbol,id
0,وسپهر,114312662654155
1,شصدف,204092872752957
2,فسا,318005355896147
3,فرآور,408934423224097
4,یاقوت4,485173041319862
5,آکام,490987973229371
6,وآفری,589599697502308
7,سبزوا,611986653700161
8,اپال,655060129740445
9,فملی2,675737110292645
10,وبملت,778253364357513
11,لپیام,793710053482057
12,ثنام,831325835570803
13,حپارسا,917857106093847
14,گارانتی,971068957336171
15,شگامرن,1050751214677134
16,نشان,1241998328504490
17,تجلی,1301069819790264
18,وآذر,1358190916156744
19,یاقوت,1438514795814416
20,حسینا,1625149423498289
21,کلر,1822787329898392
22,تکپاد,1825060609227181
23,پتروداریوش,2019449432639594
24,سپیدما,2161110547458064
25,غدام,2254054929817435
26,خصدرا,2318736941376687
27,وسپه,2328862017676109
28,شستا,2400322364771558
29,غدشت,2434703913394836
30,خزامیا,2589887561569709
31,پیشگام,2696258159590598
32,وتوصا,2944500421562364
33,وایران,3149396562827132
34,شستان,3173544097113770
35,شاروم,3407806799514469
36,غدیس,3492952121304423
37,شوینده,3493306453706327
38,کیا,3542690854557886
39,کدما,3623921205367364
40,تکنو,3654864906585643
41,حتاید,3722699128879020
42,تپسی,3839324986781871
43,افران,3846143218462419
44,ثمسکن,3863538898378476
45,سپینود,3927545069816217
46,وطوبی,3955332316338258
47,آرامش4,4119393024871184
48,فبستم,4159532151694984
49,رشدی کیان,4170494561477386
50,برلیان,4216536645718658
51,قیستو,4267564158935326
52,غزر,4369934250728330
53,وامین,4373573287489723
54,دلر,4384288570322406
55,سخاش,4470657233334072
56,زماهان,4507558419857064
57,خورشید,4523009251964699
58,سفانو,4528607775462304
59,ساراب,4563413583000719
60,کارا4,4580070394108829
61,کسرا,4614779520007780
62,نفیس,4626686276232042
63,سفارود,4686607974846832
64,فخاس,4733285133017464
65,خپویش,4758266259250794
66,بلوط,4769396408895066
67,حپرتو,4885314541377431
68,کاما,4942127026063388
69,ثبات2,5051727550286539
70,زمگسا,5054819322815158
71,وحافظ,5128151910501174
72,لپارس,5187018329202415
73,سیسکو,5286237676293152
74,داوه,5305844922895340
75,هجرت,5317427172344706
76,زفکا,5427792638736934
77,غمینو,5516102131364383
78,حریل,5564768007356822
79,بخاور,5599691633622269
80,وتعاون,5920901446678689
81,شگویا,5987841496184505
82,ثشرق,6043384171800349
83,پارس,6110133418282108
84,شجم,6116572045021585
85,غمهرا,6131290133202745
86,قیراط,6237807001018762
87,خدیزل2,6307740873270075
88,اتوآگاه,6328167131743522
89,لیان,6362118829011821
90,خعمرا,6433335428452486
91,ریشمک,6478064539164167
92,پایش2,6669895329401799
93,سشمال,6757220448540984
94,ومعلم,6847536925606808
95,آرامش,7104496710718469
96,وپخش,7183333492448248
97,زکشت,7300125658580126
98,پناه,7303159018400817
99,وپست2,7370902509286095
100,ورنا,7385624172574740
101,وخارزم,7395271748414592
102,خمحور,7457232989848872
103,خاهن,7483280423474368
104,ثاصفا,7503669593172728
105,ممسنی,7505990056227818
106,بکهنوج,7628308021169118
107,پتروما,7670135462634715
108,جهش,7681671915916933
109,شاراک,7711282667602555
110,شپنا,7745894403636165
111,کارآمد,7803396484851273
112,ارمغان2,7907432614475432
113,اصیل,8021561335311415
114,فزر,8175784894140974
115,غدانه,8234855558996646
116,فرصت,8602793697394313
117,بالاس,8646067353086740
118,فگستر,8725363201030474
119,بازبیمه2,8890187633205068
120,هومان,8912965520056581
121,دزهراوی,8915450910866216
122,رسانا,8961366473557410
123,کطبس,8977369674477111
124,فسپا,8977441217024425
125,تابش,9089296888187061
126,شهر,9098178887955847
127,وایرا,9141577977527107
128,هوشیار,9375107506435996
129,پارسیان,9481703061634967
130,وپاسار,9536587154100457
131,فاخر4,9593538495438296
132,کپارس,9698674686691945
133,وشمال,9761381741308262
134,آردینه,9956888831468521
135,آبین,9987529074833218
136,زگلدشت,10024128313803797
137,وملت,10055255678920880
138,آس,10063040211859748
139,گدنا,10114441830266109
140,پسهند,10120557300120078
141,نگین,10145129193828624
142,سیتا,10171945867136336
143,انتخاب,10236455588057352
144,تصمیم2,10367678011039964
145,کارا2,10368700486623325
146,ناما,10411249540376641
147,ماهور,10458396610199724
148,زیتون2,10495792182142221
149,سصفها,10568944722570445
150,کابگن,10654052153538617
151,پتروپاداش,10712607014123911
152,فیروزا,10795723506538053
153,قاروم,10831074117626896
154,نبروج,10843114830116591
155,تملت,11129387075131725
156,وسکاب,11258722998911897
157,دریا,11285885633824855
158,کربن,11326461864120062
159,ولملت,11403770140000603
160,شفام,11427387039523955
161,اطلس,11427939669935844
162,دسینا,11432067920374603
163,وپسا,11560002870991149
164,شپاکسا,11622051128546106
165,وبیمه,11773403764702778
166,سرود,11964419322927535
167,زنجان,12303918642491681
168,چدن,12329519546621752
169,داسوه,12387472624849835
170,گوهر,12390706505809150
171,مدیریت,12490072956930435
172,ارکیده,12629673694762396
173,پخش,12638840758449459
174,بهپاک,12746730665870442
175,خریخت,12752224677923341
176,وحکمت,12777578088653944
177,فسازان,12874072841236826
178,ولراز,12901875871456398
179,نهال,12913156843322499
180,سصوفی,13227300125161435
181,درهآور,13243992182070788
182,حسیر,13281937213456378
183,عرش,13327012090180555
184,ملت,13611044044646901
185,فراز,13666407494621646
186,وبشهر,13937270451301973
